序号,业务模块,业务操作,发起角色（待确认）,是否需要审批（待确认）,审批角色（待确认）,审批级数（待确认）,金额阈值（待确认）,备注
1,费用管理,费用录入,运营/销售,,,,,录入后是直接生效还是需要审批才生效？
2,费用管理,费用修改,运营/销售,,,,,已审批的费用修改后是否需要重新审批？
3,费用管理,费用删除/冲销,运营/销售,,,,,什么状态下的费用可以删除？
4,费用管理,大额费用加签,,,,,,是否有金额阈值？超过多少需要加一级审批？
5,费用管理,付款申请（付供应商）,运营/财务,,,,,付供应商的款项审批链是什么？
6,费用管理,收款确认（客户回款）,销售,,,,,销售确认后财务是否需要复核？
7,费用管理,退款处理,销售/运营,,,,,全额退和部分退的审批流程是否一样？
8,订单管理,订单取消,销售,,,,,不同阶段（未入库/已入库/已发运）取消规则是否不同？
9,订单管理,订单修改,销售,,,,,哪些字段可改？哪些状态下可改？
10,订单管理,订单拆分,运营,,,,,拆分是运营自主决定还是需要审批？
11,仓储管理,海关退运处理,,,,,,谁发起？处理方案需要审批吗？费用谁承担？
12,仓储管理,客户退单处理,销售,,,,,什么阶段允许退？退单费用标准？
13,仓储管理,货物报损处理,仓库,,,,,报损金额是否影响审批级别？
14,仓储管理,仓间调拨,仓库/运营,,,,,调拨需要审批吗？谁批准？
15,仓储管理,出库放行,仓库,,,,,装柜前是否需要运营确认放行？
16,运输管理,任务创建,运营,,,,,创建后直接生效还是需要确认？
17,运输管理,任务作废/取消,运营,,,,,什么状态下可以作废？已产生费用怎么处理？
18,运输管理,异常上报处理方案,运营,,,,,上报后谁决定处理方案？
19,财务人事,备用金申请,,,,,,谁申请？限额多少？
20,财务人事,备用金核销,,,,,,需要上传凭证吗？超期未核销怎么处理？
21,财务人事,工资发放,财务,,,,,制单→复核→审批的流程？
22,财务人事,佣金确认,财务/系统,,,,,系统算出后谁确认？有异议怎么处理？
